Age,Income,Number of Children,Gender Encoded,Education Encoded,Marital Encoded,HomeOwnership Encoded
26,45000.0,0,0,0,1,1
29,27500.0,0,0,3,1,1
25,62500.0,0,0,1,1,1
29,68000.0,2,0,2,0,0
31,65000.0,0,1,1,1,1
37,92500.0,0,1,4,1,0
48,70000.0,1,0,2,0,0
30,117500.0,2,1,4,0,0
26,47500.0,0,0,0,1,1
45,115000.0,3,0,1,0,0
37,135000.0,0,1,1,0,0
45,110000.0,3,0,1,0,0
37,47500.0,0,1,0,1,1
26,40000.0,0,0,0,1,1
44,75000.0,0,1,4,1,0
42,105000.0,0,1,4,1,0
31,65000.0,0,1,1,1,1
41,110000.0,0,1,2,1,0
27,37500.0,0,0,3,1,1
45,100000.0,3,0,1,0,0
40,130000.0,0,1,3,1,0
40,130000.0,0,1,3,1,0
37,110000.0,0,1,2,1,0
47,97500.0,1,0,2,0,0
31,67500.0,0,1,1,1,1
37,90000.0,1,0,3,0,0
40,142500.0,0,1,3,1,0
28,32500.0,0,0,0,1,1
25,50000.0,0,0,1,1,1
25,57500.0,0,0,1,1,1
30,112500.0,2,1,4,0,0
40,142500.0,0,1,3,1,0
42,100000.0,0,1,4,1,0
37,140000.0,0,1,1,0,0
49,65000.0,1,0,2,0,0
51,140000.0,0,1,1,0,0
43,95000.0,0,1,4,1,0
34,45000.0,0,1,0,1,1
53,115000.0,0,1,0,0,0
39,62500.0,2,0,1,0,0
37,67500.0,2,0,1,0,0
28,32500.0,0,0,0,1,1
46,95000.0,1,0,3,0,0
37,57500.0,0,0,1,1,1
42,110000.0,0,1,4,1,0
29,27500.0,0,0,3,1,1
35,80000.0,1,0,2,0,0
28,32500.0,0,0,0,1,1
35,85000.0,1,0,2,0,0
25,60000.0,0,0,1,1,1
27,37500.0,0,0,3,1,1
45,105000.0,3,0,1,0,0
33,52500.0,0,1,3,1,1
44,87500.0,0,1,4,1,0
28,75000.0,0,1,1,1,1
30,117500.0,2,1,4,0,0
44,87500.0,0,1,4,1,0
31,70000.0,0,1,1,1,1
51,150000.0,0,1,1,0,0
29,27500.0,0,0,3,1,1
50,150000.0,0,1,4,0,0
34,47500.0,0,1,0,1,1
35,90000.0,1,0,2,0,0
37,90000.0,1,0,2,0,0
38,67500.0,2,0,1,0,0
26,45000.0,0,0,0,1,1
33,52500.0,0,1,3,1,1
47,95000.0,1,0,2,0,0
50,155000.0,0,1,4,0,0
52,130000.0,0,1,3,0,0
31,60000.0,0,1,1,1,1
37,72500.0,2,0,1,0,0
41,115000.0,0,1,2,1,0
25,60000.0,0,0,1,1,1
52,137500.0,0,1,3,0,0
37,112500.0,2,1,4,0,0
37,85000.0,1,0,2,0,0
37,37500.0,0,0,3,1,1
37,57500.0,0,1,0,1,1
37,77500.0,1,0,2,0,0
37,80000.0,2,0,4,0,0
43,92500.0,0,1,4,1,0
38,67500.0,2,0,1,0,0
37,55000.0,0,1,0,1,1
30,112500.0,2,1,4,0,0
50,155000.0,0,1,4,0,0
40,125000.0,0,1,3,1,0
37,125000.0,0,1,3,0,0
51,145000.0,0,1,1,0,0
36,85000.0,2,0,4,0,0
30,105000.0,2,1,4,0,0
37,100000.0,0,1,4,1,0
35,90000.0,1,0,2,0,0
34,47500.0,0,1,0,1,1
37,77500.0,2,0,1,0,0
43,92500.0,0,1,4,1,0
39,62500.0,2,0,1,0,0
25,57500.0,0,0,1,1,1
33,52500.0,0,1,3,1,1
37,87500.0,0,1,4,1,0
43,80000.0,0,1,4,1,0
49,77500.0,1,0,2,0,0
53,122500.0,0,1,0,0,0
33,82000.0,1,0,4,0,0
36,85000.0,2,0,4,0,0
33,52500.0,0,1,3,1,1
30,100000.0,2,1,4,0,0
53,122500.0,0,1,0,0,0
37,72500.0,2,0,1,0,0
31,95000.0,0,1,2,1,1
46,102500.0,1,0,3,0,0
26,50000.0,0,0,0,1,1
53,127500.0,0,1,0,0,0
37,62500.0,2,0,1,0,0
32,57500.0,0,1,0,1,1
49,77500.0,1,0,2,0,0
